anime_id,name,genre,type,episodes,rating,members,japanese_title,aired,image_url,ave_rating_minmax
623,Shichinin no Nana,"Adventure, Comedy, Magic, Romance, School",TV,25,6.91,2915,,,,0.68480724
2811,Soratobu Yuureisen,"Adventure, Drama, Mecha, Sci-Fi",Movie,1,6.85,2634,,,,0.6735573
1483,Master Keaton,"Adventure, Mystery",TV,24,7.76,9610,,,,0.7769029
1084,I&#039;&#039;s,"Drama, Romance",OVA,2,6.13,6419,,,,0.61030596
31763,Accel World: Infinite∞Burst,"Action, Game, Romance, School, Sci-Fi",Movie,1,7.03,21916,,,,0.7167449
4190,Harukanaru Toki no Naka de 3: Kurenai no Tsuki Special,"Comedy, Fantasy, Shoujo",Special,1,7.01,1010,,,,0.73777777
30988,Futsuu no Joshikousei ga [Locodol] Yattemita. OVA,"Comedy, Seinen",OVA,2,7.12,4122,,,,0.71310115
1896,Akiba Kei Kanojo,Hentai,OVA,3,6.83,9395,,,,0.6596018
10703,Detective Conan OVA 11: A Secret Order from London,"Adventure, Comedy, Mystery, Police, Shounen",OVA,1,7.51,5985,,,,0.72712415
1395,Future GPX Cyber Formula Sin,"Drama, Sci-Fi, Shounen, Sports",OVA,5,7.72,1070,,,,0.76666665
2999,Hi no Tori: Yamato-hen,"Drama, Historical",OVA,1,7.04,1069,,,,0.72401434
3475,Muramasa,"Historical, Horror, Martial Arts, Samurai",Movie,1,6.39,2535,,,,0.6440972
1460,Uchuu no Kishi Tekkaman Blade II,"Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space",OVA,6,6.48,2346,,,,0.6188889
858,Gunparade Orchestra,"Drama, Mecha, Military, Romance, Sci-Fi, Slice of Life",TV,24,6.06,2816,,,,0.6136364
12715,The Hakkenden: Shin Shou,"Action, Adventure, Demons, Historical, Martial Arts, Samurai, Shounen",OVA,7,6.73,1127,,,,0.62222224
19351,Nijiiro☆Prism Girl,"Comedy, Romance, School, Shoujo",OVA,4,6.38,1390,,,,0.6
2387,Ai Monogatari: 9 Love Stories,"Drama, Romance",OVA,1,6.82,2060,,,,0.67241377
4929,Next Senki Ehrgeiz,"Action, Mecha, Sci-Fi",TV,12,5.84,472,,,,0.5740741
5614,Shikkaku Ishi,Hentai,OVA,2,5.95,434,,,,0.5416667
8928,Visions of Frank: Short Films by Japan&#039;s Most Audacious Animators,Dementia,Movie,9,6.22,267,,,,0.4814815
1990,Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,"Comedy, Fantasy, Magic",Movie,1,6.19,833,,,,0.5980392
4161,Kojin Jugyou,"Comedy, Hentai, Yuri",OVA,2,5.63,739,,,,0.46666667
21715,Makkuramori no Uta,Music,Music,1,5.81,117,,,,0.22222222
24355,Gaia Getter A-kun,"Comedy, Kids, Sci-Fi, Space",ONA,2,3.48,83,,,,0.22222222
9879,Shougakusei no Yuukai Boushi: Yumi-chan Abunai yo!,Kids,OVA,1,4.91,92,,,,0.33333334
18479,Bishoujo Animerama: Minami no Watashi no Heart ni Tacchi Shite...,"Hentai, Romance",OVA,1,3.49,213,,,,0.0
8407,Sora no Otoshimono: Forte,"Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",TV,12,7.86,146697,,,,0.7792149
19023,"Wake Up, Girls!","Drama, Music",TV,12,7.04,29679,,,,0.69426167
31,Neon Genesis Evangelion: Death &amp; Rebirth,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,7.51,102093,,,,0.7267608
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,サイコパス,"Oct 12, 2012 to Mar 22, 2013",https://cdn.myanimelist.net/images/anime/1314/142015.jpg,0.84858686
14837,Dragon Ball Z Movie 14: Kami to Kami,"Action, Adventure, Fantasy, Martial Arts, Shounen, Super Power",Movie,1,7.62,66471,,,,0.74179655
14289,Sukitte Ii na yo.,"Romance, School, Shoujo",TV,13,7.71,233410,,,,0.76064956
32648,Handa-kun,"Comedy, Shounen, Slice of Life",TV,12,7.46,69621,,,,0.72467923
10798,UN-GO,"Mystery, Supernatural",TV,11,7.53,84499,,,,0.74338394
16680,Pokemon Best Wishes! Season 2: Shinsoku no Genosect - Mewtwo Kakusei,"Action, Adventure, Comedy, Fantasy, Kids",Movie,1,6.65,12517,,,,0.6418781
1303,The Animatrix,"Action, Drama, Sci-Fi",OVA,9,7.34,42831,,,,0.7173527
5984,Ristorante Paradiso,"Drama, Josei, Romance, Slice of Life",TV,11,7.48,22229,,,,0.74289125
1143,.hack//Intermezzo,"Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi",Special,1,6.71,16637,,,,0.6446955
1699,Romeo x Juliet,"Drama, Fantasy, Historical, Romance",TV,24,7.85,91530,,,,0.7852165
1650,Uchuu Senkan Yamato,"Action, Adventure, Drama, Military, Sci-Fi, Space",TV,26,7.73,10688,,,,0.7318519
1618,Soreyuke! Uchuu Senkan Yamamoto Yohko (1999),"Action, Adventure, Sci-Fi",TV,26,6.79,2430,,,,0.6730159
24855,Girlfriend (Kari),"School, Slice of Life",TV,12,6.03,24338,,,,0.6098191
3352,Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!,"Action, Adventure, Comedy, Mecha, Sci-Fi",Special,1,7.47,24618,,,,0.73712146
516,Keroro Gunsou,"Comedy, Sci-Fi, Shounen",TV,358,7.93,31632,,,,0.76282054
1352,Cyber City Oedo 808,"Action, Adventure, Police, Sci-Fi",OVA,3,7.27,8970,,,,0.69945985
2821,Bad End,Hentai,OVA,2,5.52,1419,,,,0.45925927
3000,Taiho Shichau zo: Full Throttle,"Action, Comedy, Police, Shounen",TV,23,7.3,5134,,,,0.70726496
1270,Black Magic M-66,"Action, Mecha, Military, Sci-Fi",OVA,1,6.52,5496,,,,0.62922704
10862,Prince of Tennis: Pairpuri,"Comedy, Drama, Shounen, Sports",Special,8,7.46,3315,,,,0.7104377
3488,Genji Monogatari,"Drama, Historical, Romance",Movie,1,6.72,2773,,,,0.6308244
3761,Wanwan Sanjuushi,"Adventure, Historical",TV,26,6.78,1277,,,,0.68013465
3213,Ganbare Genki,"Action, Comedy, Shounen, Sports",TV,35,7.6,805,,,,0.6759259
5287,Ippatsu Kanta-kun,"Action, Adventure, Comedy, Kids, Sports",TV,53,6.25,310,,,,0.56666666
6622,Gakuen Maria: Bakunyuu Teachers,Hentai,OVA,1,5.37,891,,,,0.44444445
30547,Touhou Niji Sousaku Doujin Anime: Musou Kakyou Special,"Fantasy, Magic",OVA,1,7.05,2540,,,,0.74747473
1339,Cool Devices,Hentai,OVA,11,6.41,3966,,,,0.6181658
2572,Fushigi no Kuni no Alice,"Adventure, Fantasy, Kids",TV,52,6.52,1594,,,,0.64285713
2776,Generation of Chaos,"Action, Adventure, Demons, Fantasy, Magic",OVA,1,3.98,1010,,,,0.35416666
4391,Saru Masamune,"Adventure, Military",Movie,1,5.45,659,,,,0.5555556
1903,Stratos 4: Logbook,"Action, Ecchi, Sci-Fi",Special,1,6.48,1090,,,,0.5915916
1139,Monkey Magic,"Adventure, Fantasy, Kids",TV,13,6.28,356,,,,0.62222224
2393,Doraemon Movie 24: Nobita to Fushigi Kaze Tsukai,"Adventure, Comedy, Fantasy, Kids",Movie,1,7.41,1973,,,,0.71965814
31834,Mormorando,,Movie,1,5.26,181,,,,0.19444445
6266,Joseito,"Drama, School, Slice of Life",OVA,1,5.81,774,,,,0.63703704
19619,Jewelpet Twinkle☆: Hohoemi no Niji ni Dokki☆Doki!,"Fantasy, Magic, School, Shoujo",Special,1,7.37,555,,,,0.7037037
5173,Jokutsuma,Hentai,OVA,2,5.8,1151,,,,0.5694444
4489,Septem Charm Magical Kanan: SP Summer Camp,Hentai,Special,2,6.03,958,,,,0.64705884
5071,Croket!,"Action, Adventure, Comedy, Fantasy",TV,52,7.12,310,,,,0.7777778
3704,Zenryoku Usagi,"Comedy, Kids",TV,52,6.47,613,,,,0.7222222
27709,Saki Biyori Animation,"Comedy, School, Seinen, Slice of Life",OVA,1,6.85,1682,,,,0.6872428
29177,Persia no Komoriuta: Watashi no Hana,"Kids, Music",Music,1,3.63,87,,,,0.22222222
30330,Utsukushii Hoshi,Dementia,Movie,1,5.28,114,,,,0.11111111
33118,Kuma Miko Specials,"Comedy, Seinen",Special,2,6.65,4237,,,,0.6262626
5117,Kokudo Oh,"Fantasy, Hentai",OVA,5,6.16,776,,,,0.5816994
9558,Cheung gong chat hou,Kids,Movie,1,6.65,215,,,,0.75555557
26111,Hibike! Wadaiko,"Drama, Kids",OVA,1,6.78,307,,,,0.5555556
32871,Kuroko no Basket Movie 3: Winter Cup Soushuuhen - Tobira no Mukou,"Comedy, Shounen, Sports",Movie,1,7.38,5492,,,,0.7407407
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168,HUNTER×HUNTER Original Video Animation,"Jan 17, 2002 to Apr 17, 2002",https://cdn.myanimelist.net/images/anime/1/137.jpg,0.83201706
451,InuYasha: Tenka Hadou no Ken,"Adventure, Comedy, Demons, Drama, Fantasy, Historical, Romance, Shounen, Supernatural",Movie,1,7.89,51079,,,,0.7755594
2025,Darker than Black: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,440334,Darker than BLACK -黒の契約者-,"Apr 6, 2007 to Sep 28, 2007",https://cdn.myanimelist.net/images/anime/5/19570.jpg,0.8225032
4186,Chrome Shelled Regios,"Action, Adventure, Fantasy, School, Sci-Fi",TV,24,7.57,103615,,,,0.74902
20473,Teekyuu 3,"Comedy, School, Shounen, Sports",TV,12,6.96,13227,,,,0.6872428
2923,Shugo Chara!,"Comedy, Magic, School, Shoujo",TV,51,7.61,121108,,,,0.761195
3089,The Sky Crawlers,"Drama, Military",Movie,1,7.4,32660,,,,0.71603054
6361,ef: A Tale of Memories. - Prologue,"Drama, Music",Special,1,7.26,21002,,,,0.7160665
19021,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie,"Comedy, Drama, Romance, School, Slice of Life",Movie,1,7.37,34272,,,,0.7224664
251,Kyou kara Maou!,"Adventure, Comedy, Demons, Fantasy, Shoujo",TV,78,7.88,58150,,,,0.79346806
85,Mobile Suit Zeta Gundam,"Drama, Mecha, Military, Sci-Fi, Space",TV,50,8.03,28959,機動戦士Ζガンダム,"Mar 2, 1985 to Feb 22, 1986",https://cdn.myanimelist.net/images/anime/6/11153.jpg,0.78510666
22225,Momo Kyun Sword,"Comedy, Ecchi, Fantasy",TV,12,5.69,19246,,,,0.56970984
5074,Tetsuwan Birdy Decode:02,"Action, Comedy, Sci-Fi",TV,12,7.83,29622,,,,0.76249486
2488,Mei to Koneko Bus,"Adventure, Fantasy",Special,1,7.47,7714,,,,0.7423868
23367,Kitakubu Katsudou Kiroku: Miniature Theater,"Comedy, School",Special,6,6.33,1154,,,,0.6111111
5155,Genji Monogatari Sennenki,"Drama, Historical, Romance",TV,11,7.04,8554,,,,0.6911977
2525,Kekkou Kamen,"Comedy, Ecchi",OVA,4,5.9,2344,,,,0.5614035
5308,Ushio to Tora: Comically Deformed Theater,"Action, Comedy",OVA,1,6.33,1501,,,,0.62666667
7066,Mahoromatic: I&#039;m Home!,"Comedy, Ecchi, Romance, Sci-Fi",Special,2,7.18,5760,,,,0.7045814
17437,The iDOLM@STER Movie: Kagayaki no Mukougawa e!,"Comedy, Drama, Music",Movie,1,7.66,12262,,,,0.75508606
23439,Toki wa Meguru: Tokyo Station,Slice of Life,ONA,1,6.78,2862,,,,0.6577778
580,Kogepan,Comedy,TV,10,7.04,4436,,,,0.69917256
3220,Kanashimi no Belladonna,"Drama, Hentai",Movie,1,7.28,6599,,,,0.72444445
1265,Yoroiden Samurai Troopers Gaiden,"Adventure, Fantasy, Samurai, Shounen",OVA,2,6.86,1638,,,,0.700565
19165,Fate/Zero Cafe,"Comedy, Parody",Movie,1,6.2,8130,,,,0.5862069
2748,Dash! Kappei,"Comedy, Ecchi, Shounen, Sports",TV,65,7.3,2578,,,,0.705314
7530,Hana to Chou,Fantasy,Movie,1,5.4,203,,,,0.4888889
2259,Dr. Rin ni Kiitemite!,"Comedy, Fantasy, Magic, Romance, School, Shoujo",TV,51,6.95,1904,,,,0.7078189
4078,Kyou no 5 no 2 Kagai Jugyou: Mizukake,"Comedy, Ecchi, School, Seinen",Special,1,7.07,4623,,,,0.6997636
8743,Memory (ONA),"Drama, Military, Sci-Fi, Slice of Life",ONA,1,6.47,1505,,,,0.6243386
3490,Rayca,Sci-Fi,OVA,1,4.95,841,,,,0.45410627
2231,Miyuki,"Romance, School",TV,37,6.93,1423,,,,0.6993464
25639,Toilet no Kamisama,Music,Music,1,5.75,165,,,,0.37037036
1884,Himesama Goyoujin,Comedy,TV,12,6.49,1623,,,,0.6123457
808,Bakuretsu Hunters OVA,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, Shounen, Super Power",OVA,3,6.72,3686,,,,0.6322942
2721,Reinou Tantei Miko,"Comedy, Hentai",OVA,2,5.94,952,,,,0.51111114
4364,Kunoichi Bakumatsu Kitan,Hentai,OVA,2,6.13,1274,,,,0.64444447
3098,Shutsugeki! Machine Robo Rescue,"Action, Mecha, Sci-Fi",TV,53,6.93,636,,,,0.74814814
2443,Kara no Naka no Kotori,Hentai,OVA,5,5.67,663,,,,0.4691358
1975,Mutekiou Tri-Zenon,"Mecha, Sci-Fi",TV,22,6.21,483,,,,0.5555556
5223,Robotan (1986),"Comedy, Kids",TV,33,6.47,294,,,,0.60683763
4042,Hanappe Bazooka,"Action, Comedy, Ecchi, Magic, School",OVA,1,5.77,1164,,,,0.53046596
8109,Tottoko Hamtarou Movie 4: Hamtaro to Fushigi no Oni no Emon Tou,"Adventure, Comedy, Kids",Movie,1,6.6,962,,,,0.67407405
31380,To LOVE-Ru Darkness 2nd OVA,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",OVA,3,7.91,18575,,,,0.7839506
23267,Osaru no Tairyou,Slice of Life,Movie,1,4.36,111,,,,0.33333334
31689,Requiem (ONA),Dementia,ONA,1,4.11,334,,,,0.1388889
31759,Hakubutsushi,Dementia,Movie,1,5.04,191,,,,0.22222222
32291,Kakegae no,Drama,ONA,1,5.27,103,,,,0.11111111
17223,Hana no Asukagumi! 2: Lonely Cats Battle Royale,"Adventure, Drama, Shoujo",OVA,1,5.3,112,,,,0.6666667
3876,Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,"Adventure, Fantasy",TV,26,6.58,279,,,,0.5555556
7661,Giant Killing,"Drama, Seinen, Sports",TV,26,7.71,36947,,,,0.7596506
16706,Kami nomi zo Shiru Sekai: Megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.3,142612,神のみぞ知るセカイ 女神篇,"Jul 9, 2013 to Sep 24, 2013",https://cdn.myanimelist.net/images/anime/6/51949.jpg,0.8255539
65,Rozen Maiden: Träumend,"Action, Comedy, Drama, Magic, Seinen",TV,12,7.78,72645,,,,0.7667831
879,Simoun,"Drama, Magic, Military, Romance, Shoujo Ai",TV,26,7.56,24664,,,,0.7401049
2924,ef: A Tale of Memories.,"Drama, Mystery, Romance",TV,12,8.12,151106,ef - a tale of memories.,"Oct 7, 2007 to Dec 23, 2007",https://cdn.myanimelist.net/images/anime/1246/107820.jpg,0.8148371
5682,Phantom: Requiem for the Phantom,"Action, Drama, Seinen, Thriller",TV,26,8.16,159105,Phantom 〜Requiem for the Phantom〜,"Apr 3, 2009 to Sep 25, 2009",https://cdn.myanimelist.net/images/anime/8/22470.jpg,0.8118375
6500,Seikon no Qwaser,"Action, Ecchi, Seinen, Super Power, Supernatural",TV,24,6.82,145592,,,,0.6684136
31821,Arslan Senki (TV): Fuujin Ranbu,"Action, Adventure, Drama, Fantasy, Historical, Shounen, Supernatural",TV,8,7.7,53577,,,,0.7478389
32094,Reikenzan: Hoshikuzu-tachi no Utage,"Comedy, Fantasy, Magic",TV,12,7.2,30153,,,,0.7041773
14713,Kamisama Hajimemashita,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,13,8.13,189641,神様はじめました,"Oct 2, 2012 to Dec 25, 2012",https://cdn.myanimelist.net/images/anime/3/85429.jpg,0.79534864
27633,Gekkan Shoujo Nozaki-kun Specials,"Comedy, Romance, School",Special,6,8.0,52672,,,,0.7868139
3561,Dennou Boukenki Webdiver,"Adventure, Mecha, Sci-Fi, Shounen",TV,52,7.12,876,,,,0.6666667
8577,Aki-Sora: Yume no Naka,"Ecchi, Romance, Seinen, Yuri",OVA,2,6.41,37519,,,,0.6310466
1977,Hijikata Toshizou: Shiro no Kiseki,"Action, Drama, Historical, Samurai",OVA,1,6.35,1965,,,,0.64040405
883,Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna,"Action, Comedy",Movie,1,7.34,13775,,,,0.72589016
10527,Duel Masters Cross,"Action, Adventure, Comedy, Shounen",TV,100,6.72,1062,,,,0.6231884
22215,Pretty Rhythm: All Star Selection,"Music, Shoujo, Sports",TV,11,6.34,1145,,,,0.5777778
18825,Hello Kitty no Shiawase no Tulip,Kids,Special,1,6.14,109,,,,0.6666667
21373,Freezing Vibration Specials,"Action, Comedy, Ecchi",Special,6,6.64,12299,,,,0.62937593
